Unique ID = 	Higgins00010040Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Glass & Vine	Business Website = 	https://www.glassandvine.com	Business Type = 	"Bar
Restaurant"	Offering = 	"Glass and Vine is a true representation of South Florida's local ingredients. The restaurant spins a contemporary take on American cuisine & serves up handmade signature cocktails, regional craft beers, & an eclectic wine menu."								
Unique ID = 	Higgins00010041Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Havana Harry's	Business Website = 	https://www.havanaharrys.com	Business Type = 	Restaurant	Offering = 	"Established in 1995 as Miami's premier Cuban & American fusion restaurant, Havana Harry’s is a modern restaurant inspired by Cuban, Spanish, and Latin American cuisine served up with a delicious twist."								
Unique ID = 	Higgins00010042Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Komodo	Business Website = 	https://komodomiami.com	Business Type = 	Restaurant	Offering = 	"Komodo is a three-story indoor/outdoor eatery and lounge that combines contemporary Southeast Asian cuisine with a South Florida vibe to elevate the dining and nightlife experience. The menu features signature favorites including the Peking Duck, Tuna & Toro Roll, and Lobster Dynamite."								
Unique ID = 	Higgins00010043Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Seaspice Brasserie & Lounge	Business Website = 	https://www.seaspice.com	Business Type = 	"Bar
Restaurant"	Offering = 	"The brasserie embraces the idea of gastro-classic dining, elevated to new heights via modern techniques and a heartfelt commitment to quality. Dining accommodations include the main dining room and bar, an outdoor courtyard lounge, a luscious garden bar, a covered patio, and the Modern Garden"								
Unique ID = 	Higgins00010044Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Ossobuco	Business Website = 	https://ossobuco.miami	Business Type = 	Restaurant	Offering = 	"A steakhouse with an authentic journey uniting premium meats, organic veggies, and global inspirations."								
Unique ID = 	Higgins00010045Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Kiki on The River	Business Website = 	https://kikiontheriver.com	Business Type = 	Restaurant	Offering = 	"Embracing the hospitality and spirit of the Greek islands, Kiki on The River is heralded for it's meticulously-scuffed elegance that only a windswept waterfront garden can provide."								
Unique ID = 	Higgins00010046Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Gekko	Business Website = 	https://gekko.com	Business Type = 	Restaurant	Offering = 	Gekk_ is a japanese-inspired steakhouse and lounge from the minds of groot hospitality’s david grutman and the recording artist bad bunny								
Unique ID = 	Higgins00010047Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Marion	Business Website = 	https://www.marionmiami.com	Business Type = 	Restaurant	Offering = 	"Marion welcomes guests into its upbeat, upscale setting for a fine-dining experience that doubles as a celebration with plenty of European flair. New American flavors meet Asian influences on the contemporary menu, packed with delectable dishes and shareable items to fuel you for a night of fun and live entertainment."								
Unique ID = 	Higgins00010048Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Ariete	Business Website = 	https://arietecoconutgrove.com	Business Type = 	Restaurant	Offering = 	"Executive Chef and Owner Michael Beltran’s vision — shaped by passion for his Cuban heritage, devotion to championing Miami ingredients and tradition, and commitment to classic French technique — guides one of the city’s most talented restaurant teams in every dish, every drink, every moment at Ariete."								
Unique ID = 	Higgins00010049Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Calle Dragones	Business Website = 	https://calledragones.com/home-english/	Business Type = 	Restaurant	Offering = 	A tribute to Cuba and its cultural influences. Indulge yourself in the sensuality and glam of Old Havana while perfectly blending gastronomy with spectacle.								
